experiment,transfer,test_style,oral_accuracy,nasal_accuracy,nasal_minus_oral
E3,No,naturalistic,0.6446579689703809,0.3358313817330211,-0.3088265872373598
E5,No,constrained,0.7781871775976419,0.6,-0.1781871775976419
E8,Yes,naturalistic,0.6387517630465445,0.3199063231850117,-0.31884543986153274
E10,Yes,constrained,0.7708179808400885,0.6857142857142857,-0.08510369512580274
