experiment,transfer,test_style,front_accuracy,central_accuracy,back_accuracy
E3,No,naturalistic,0.5759539236861051,0.7478778664639554,0.5225163286352699
E5,No,constrained,0.7668463611859838,0.820580474934037,0.6914893617021277
E8,Yes,naturalistic,0.574244060475162,0.7410363613328266,0.5061876933654177
E10,Yes,constrained,0.7628032345013477,0.841688654353562,0.6835106382978723
