pair,tone,naturalistic_experiment,constrained_experiment,naturalistic_accuracy,constrained_accuracy,difference_naturalistic_minus_constrained
E3_vs_E5,high,E3,E5,0.7644955300127714,0.7531380753138075,0.011357454698963876
E3_vs_E5,low,E3,E5,0.7062604447872477,0.7717391304347826,-0.0654786856475349
E3_vs_E5,mid,E3,E5,0.30269155632732797,0.5394265232974911,-0.2367349669701631
E8_vs_E10,high,E8,E10,0.7666666666666667,0.7364016736401674,0.03026499302649932
E8_vs_E10,low,E8,E10,0.7452114667695077,0.7608695652173914,-0.015658098447883684
E8_vs_E10,mid,E8,E10,0.24506186238332972,0.5555555555555556,-0.31049369317222586
