experiment,transfer,train_style,test_style,high_accuracy,low_accuracy,mid_accuracy,overall_tone_error_rate
E3,No,mixed,naturalistic,0.7644955300127714,0.7062604447872477,0.30269155632732797,0.4251702050517665
E5,No,mixed,constrained,0.7531380753138075,0.7717391304347826,0.5394265232974911,0.321309285237141
E8,Yes,mixed,naturalistic,0.7666666666666667,0.7452114667695077,0.24506186238332972,0.43367038633525357
E10,Yes,mixed,constrained,0.7364016736401674,0.7608695652173914,0.5555555555555556,0.32398129592518365
